1716206394832,895,HTTP Request,200,OK,Thread Group 1-2,text,true,,42969,111,3,3,https://daraz.com/,891,0,194
1716206394365,1355,HTTP Request,200,OK,Thread Group 1-1,text,true,,42970,111,3,3,https://daraz.com/,1302,0,661
1716206395434,716,HTTP Request,200,OK,Thread Group 1-3,text,true,,42971,111,2,2,https://daraz.com/,669,0,124
1716206396036,1190,HTTP Request,200,OK,Thread Group 1-4,text,true,,42970,111,2,2,https://daraz.com/,953,0,545
1716206396634,716,HTTP Request,200,OK,Thread Group 1-5,text,true,,42971,111,2,2,https://daraz.com/,578,0,129
1716206397233,495,HTTP Request,200,OK,Thread Group 1-6,text,true,,42975,111,1,1,https://daraz.com/,492,0,128
1716206397832,887,HTTP Request,200,OK,Thread Group 1-7,text,true,,42969,111,2,2,https://daraz.com/,675,0,128
1716206398433,659,HTTP Request,200,OK,Thread Group 1-8,text,true,,42970,111,2,2,https://daraz.com/,436,0,125
1716206399032,606,HTTP Request,200,OK,Thread Group 1-9,text,true,,42972,111,2,2,https://daraz.com/,571,0,158
1716206399633,626,HTTP Request,200,OK,Thread Group 1-10,text,true,,42971,111,1,1,https://daraz.com/,572,0,134
